epoch,train_time,train_loss,test_time,test_loss
1.0,5.35,0.000618,0.29,0.000233
2.0,2.91,0.00019,0.29,0.00019
3.0,2.91,0.000171,0.29,0.000182
4.0,2.91,0.000163,0.29,0.000174
5.0,2.92,0.000154,0.29,0.000175
6.0,2.93,0.000149,0.29,0.000167
7.0,2.93,0.000144,0.29,0.000163
8.0,2.92,0.00014,0.29,0.00016
9.0,2.93,0.000138,0.29,0.000156
10.0,2.94,0.000136,0.29,0.000155
11.0,2.93,0.000134,0.29,0.000158
12.0,2.96,0.000132,0.35,0.000155
13.0,2.94,0.000131,0.29,0.000149
14.0,2.93,0.000129,0.29,0.000154
15.0,2.94,0.000128,0.29,0.000147
16.0,2.95,0.000127,0.29,0.000148
17.0,2.95,0.000126,0.29,0.000149
18.0,2.95,0.000126,0.29,0.000158
19.0,2.95,0.000124,0.29,0.000151
20.0,2.95,0.000123,0.3,0.000148
21.0,3.07,0.000123,0.29,0.000145
22.0,2.95,0.000121,0.29,0.000147
23.0,2.94,0.000121,0.29,0.000145
24.0,2.95,0.00012,0.29,0.000144
25.0,2.95,0.00012,0.29,0.000142
26.0,2.94,0.00012,0.29,0.000143
27.0,2.93,0.000119,0.29,0.00015
28.0,2.94,0.000118,0.29,0.00015
29.0,2.94,0.000117,0.29,0.000144
30.0,2.95,0.000117,0.29,0.000146
31.0,2.95,0.000116,0.29,0.000142
32.0,2.95,0.000116,0.29,0.000145
33.0,2.95,0.000115,0.29,0.000147
34.0,2.95,0.000115,0.29,0.000142
35.0,2.94,0.000115,0.3,0.000143
36.0,2.95,0.000114,0.3,0.000144
37.0,2.95,0.000113,0.3,0.000145
38.0,2.95,0.000114,0.29,0.000141
39.0,2.96,0.000112,0.29,0.000146
40.0,2.96,0.000112,0.29,0.000144
41.0,2.96,0.000111,0.29,0.000148
42.0,2.96,0.000112,0.29,0.000146
43.0,2.96,0.000111,0.29,0.000147
44.0,2.96,0.000111,0.29,0.000153
45.0,2.96,0.00011,0.29,0.000145
46.0,2.96,0.00011,0.46,0.000145
47.0,3.23,0.000109,0.29,0.000152
48.0,2.96,0.000109,0.29,0.000148
49.0,2.96,0.000109,0.29,0.000149
50.0,2.95,0.000109,0.29,0.000139
