epoch,train_time,train_loss,test_time,test_loss
1.0,4.21,0.005449,0.4,0.004797
2.0,4.07,0.003203,0.4,0.001313
3.0,4.07,0.001034,0.4,0.000791
4.0,4.07,0.000794,0.4,0.00081
5.0,4.08,0.000724,0.4,0.000688
6.0,4.2,0.000674,0.4,0.000675
7.0,4.08,0.000636,0.4,0.000636
8.0,4.08,0.000604,0.4,0.000603
9.0,4.08,0.000591,0.4,0.000589
10.0,4.08,0.000572,0.4,0.000577
11.0,4.08,0.000568,0.4,0.000565
12.0,4.2,0.000559,0.4,0.000567
13.0,4.09,0.000551,0.4,0.000571
14.0,4.08,0.000544,0.4,0.000575
15.0,4.09,0.000539,0.4,0.00057
16.0,4.08,0.000533,0.4,0.000545
17.0,4.08,0.000529,0.4,0.000546
18.0,4.08,0.000526,0.4,0.000532
19.0,4.22,0.000519,0.4,0.000607
20.0,4.08,0.00052,0.4,0.000583
21.0,4.08,0.000515,0.4,0.000543
22.0,4.07,0.000513,0.4,0.000514
23.0,4.07,0.00051,0.4,0.000551
24.0,4.07,0.000505,0.4,0.000516
25.0,4.2,0.000503,0.4,0.000529
26.0,4.06,0.000501,0.4,0.000523
27.0,4.07,0.000495,0.4,0.000557
28.0,4.08,0.000492,0.4,0.000544
29.0,4.08,0.00049,0.4,0.00051
30.0,4.08,0.000487,0.4,0.000526
31.0,4.22,0.000485,0.4,0.000512
32.0,4.1,0.000478,0.41,0.000513
33.0,4.16,0.000477,0.4,0.000511
34.0,4.08,0.000469,0.4,0.000507
35.0,4.08,0.000469,0.4,0.000554
36.0,4.07,0.000465,0.4,0.000553
37.0,4.07,0.000461,0.4,0.000539
38.0,4.29,0.000456,0.4,0.000505
39.0,4.07,0.000452,0.4,0.000507
40.0,4.07,0.000446,0.4,0.000491
41.0,4.06,0.000444,0.4,0.000503
42.0,4.07,0.00044,0.4,0.000507
43.0,4.07,0.000435,0.4,0.000564
44.0,4.2,0.000432,0.4,0.000534
45.0,4.07,0.000432,0.4,0.000534
46.0,4.06,0.000426,0.4,0.00051
47.0,4.08,0.000422,0.4,0.000503
48.0,4.07,0.00042,0.4,0.000567
49.0,4.07,0.000421,0.4,0.00053
50.0,4.21,0.000421,0.4,0.000495
